"Experimental Data, Sydney Piloted Jet Flame",,,
"Arbitrary Location: x/D_J = 10, r/D_J = 0.6",,,
N_Samples = 500,,,
,,,
ZMIX,TEMP,Y_CO2,Y_CO
0.12453,1007.7,0.038228,0.030242
0.10082,1223.2,0.052078,0.039914
0.090486,1686.1,0.091975,0.051321
0.11733,1211.9,0.057883,0.038773
0.097998,1478.2,0.084634,0.05381
0.14781,816.93,0.032317,0.019701
0.11859,1231.8,0.061751,0.040421
0.075871,1889.5,0.097726,0.06692
0.099858,1408.6,0.075274,0.037722
0.081537,1157.8,0.050022,0.033196
0.090863,1571.2,0.08091,0.061106
0.080251,1854.3,0.097572,0.068408
0.072626,1931.8,0.091002,0.073569
0.13475,839.78,0.030547,0.019571
0.089918,1727.1,0.078565,0.067884
0.14278,909.52,0.03734,0.020906
0.10353,1396.7,0.068794,0.047509
0.095388,1597.7,0.080686,0.046486
0.082438,1818.5,0.10481,0.062557
0.070987,1955.4,0.10004,0.060877
0.20345,667.28,0.022862,0.014952
0.12239,1075.3,0.046537,0.033676
0.19673,488.93,0.0060494,0.0079064
0.15623,1018.9,0.046071,0.035184
0.10509,1312.6,0.06518,0.037904
0.098971,1539.9,0.082708,0.054256
0.12667,883.09,0.033918,0.023756
0.088349,1753,0.090803,0.067527
0.18804,690.57,0.022233,0.015648
0.091006,1598.7,0.090012,0.049278
0.12567,970.05,0.038416,0.026388
0.098015,1467.4,0.078087,0.046428
0.15649,583.9,0.012682,0.01265
0.13281,1122.5,0.04774,0.03179
0.13369,1009.1,0.046644,0.025562
0.14268,911.76,0.03351,0.024919
0.1043,678.53,0.016532,0.012482
0.080135,1766,0.099964,0.059203
0.092163,1085.6,0.040436,0.032426
0.082559,1696.4,0.088557,0.054295
0.10185,1348.6,0.065529,0.040492
0.10301,1309,0.062472,0.039006
0.092566,1428.6,0.075858,0.041526
0.093846,1447.6,0.069338,0.050918
0.10215,1455.8,0.077509,0.048301
0.084865,1625.1,0.090596,0.051009
0.077461,1872.5,0.10782,0.048461
0.15516,1086.9,0.056491,0.034024
0.13303,1020.3,0.041323,0.02978
0.085659,1752.8,0.10033,0.056384
0.073705,1883.6,0.10598,0.05253
0.10501,818.64,0.025557,0.017656
0.13191,1009.6,0.03598,0.031232
0.087853,1571,0.07499,0.050128
0.13775,929.41,0.036928,0.02232
0.12719,830.25,0.034091,0.023238
0.097617,1548.5,0.087476,0.053185
0.12182,1039.1,0.04313,0.034171
0.11049,1450.9,0.075731,0.044045
0.16859,673.8,0.017708,0.016543
0.2159,791.29,0.032646,0.016264
0.16667,761.16,0.021539,0.019375
0.14585,907.23,0.035274,0.026262
0.10517,1271.4,0.060073,0.043469
0.096084,1210.5,0.051617,0.040802
0.10558,1246.1,0.059825,0.040713
0.10563,742.95,0.018107,0.015004
0.16199,678.89,0.021066,0.014375
0.13368,1198.3,0.053042,0.029181
0.13954,1070.7,0.04394,0.031888
0.077503,1419.5,0.055351,0.052486
0.1156,1198.7,0.058767,0.036495
0.12252,921.04,0.036115,0.023682
0.11318,1150.5,0.050216,0.035067
0.081994,1730.6,0.085235,0.060338
0.089952,967.89,0.032435,0.02493
0.16394,816.3,0.025997,0.017561
0.14297,1043.5,0.044483,0.032165
0.13062,920.2,0.032511,0.025612
0.12505,1166.5,0.056111,0.035474
0.088814,1752.3,0.082255,0.058119
0.085662,1773.1,0.10201,0.057194
0.11801,973.02,0.034515,0.023221
0.21819,494.46,0.011518,0.0089673
0.097429,1557,0.085365,0.053666
0.078071,1463.7,0.058106,0.057506
0.16852,858.82,0.03701,0.020832
0.18703,644.17,0.016647,0.015626
0.069927,2003.2,0.10616,0.052686
0.097642,1247.4,0.054593,0.032422
0.13018,1049.7,0.042793,0.034633
0.12227,741.24,0.01914,0.014057
0.16522,514.06,0.010412,0.0090634
0.10884,1589.6,0.089058,0.062492
0.12296,1167.7,0.06065,0.035538
0.082103,1696.8,0.090371,0.054366
0.086094,1648.3,0.077551,0.062311
0.080485,1865.5,0.096599,0.063364
0.17927,675.03,0.025411,0.015722
0.13513,1048.8,0.047999,0.031595
0.12744,1088.5,0.051958,0.035115
0.083292,1735.9,0.097082,0.057498
0.094543,997.55,0.045394,0.022428
0.11419,1351.8,0.069218,0.047517
0.13245,951.8,0.031284,0.026421
0.12068,1243.6,0.063781,0.033343
0.15749,755.19,0.024594,0.018586
0.11437,457.82,0.010499,0.0055112
0.11546,1296.2,0.059179,0.040926
0.076037,1790.9,0.09727,0.054239
0.072033,1894.2,0.10345,0.059777
0.22031,420.65,0.0077609,0.0058379
0.11439,1351.4,0.068678,0.043924
